Designator,Footprint,Quantity,Value,LCSC Part #
"_12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,12,,
"C1, C3, C4",0603,3,10u,
C2,0603,1,100ｎ,
D1,0603,1,19-217/BHC-ZL1M2RY/3T,
F1,1206,1,MF-NSMF050-2,
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J2,USB_A_U-A-24DD-W-16,1,U-A-24DD-W-16,
"R1, R2",0603,2,5k1,
R4,0603,1,470,
R5,0603,1,10k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SKRKAEE020,
U1,SSOP-16_sl2.1s,1,SL2.1S,
"U2, U3, U4",XCVR_MS88SF2,3,MS88SF2,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,X322512MSB4SI,
